Taxon	Taxon	Taxon	barcode03	barcode03	barcode03	barcode15	barcode15	barcode15	barcode50	barcode50	barcode50	barcode62	barcode62	barcode62	barcode74	barcode74	barcode74	stringent_demultiplex_barcode03	stringent_demultiplex_barcode03	stringent_demultiplex_barcode03	stringent_demultiplex_barcode15	stringent_demultiplex_barcode15	stringent_demultiplex_barcode15	stringent_demultiplex_barcode50	stringent_demultiplex_barcode50	stringent_demultiplex_barcode50	stringent_demultiplex_barcode62	stringent_demultiplex_barcode62	stringent_demultiplex_barcode62	stringent_demultiplex_barcode74	stringent_demultiplex_barcode74	stringent_demultiplex_barcode74
Thiomicrorhabdus	2039723	genus	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	74.0	0.0	0.0	-inf
Thiomicrorhabdus aquaedulcis	2211106	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	74.0	0.0	0.0	-inf
Thiosulfatimonas	2781121	genus	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	56.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	56.0	0.0	0.0	-inf
Thiosulfatimonas sediminis	2675054	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	56.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	56.0	0.0	0.0	-inf
Thiotrichaceae	135617	family	2.0	0.0	42.5	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	42.5	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf
Thiothrix	1030	genus	2.0	0.0	42.5	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	42.5	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf
Thiothrix unzii	111769	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Thiothrix	2636184	no_rank	2.0	0.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Thiothrix sp.	1032	species	2.0	2.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonadales	72274	order	11.0	0.0	48.18181818181818	146.0	0.0	87.91780821917808	3400.0	0.0	84.97882352941174	31.0	0.0	77.96774193548387	83.0	0.0	77.57831325301204	11.0	0.0	48.18181818181818	146.0	0.0	87.91780821917808	3399.0	0.0	84.98175934098265	31.0	0.0	77.96774193548387	83.0	0.0	77.57831325301204
Moraxellaceae	468	family	9.0	0.0	44.55555555555556	1.0	0.0	95.0	396.0	15.0	77.63131313131312	27.0	1.0	82.70370370370371	67.0	0.0	78.97014925373135	9.0	0.0	44.55555555555556	1.0	0.0	95.0	396.0	15.0	77.63131313131312	27.0	1.0	82.70370370370371	67.0	0.0	78.97014925373135
Acinetobacter	469	genus	5.0	0.0	61.2	1.0	0.0	95.0	103.0	4.0	86.00970873786407	5.0	0.0	57.2	10.0	0.0	61.1	5.0	0.0	61.2	1.0	0.0	95.0	103.0	4.0	86.00970873786407	5.0	0.0	57.2	10.0	0.0	61.1
Acinetobacter haemolyticus	29430	species	1.0	1.0	91.0	0.0	0.0	-inf	2.0	2.0	85.5	0.0	0.0	-inf	1.0	1.0	74.0	1.0	1.0	91.0	0.0	0.0	-inf	2.0	2.0	85.5	0.0	0.0	-inf	1.0	1.0	74.0
Acinetobacter junii	40215	species	1.0	1.0	96.0	0.0	0.0	-inf	29.0	29.0	82.93103448275862	2.0	2.0	73.5	0.0	0.0	-inf	1.0	1.0	96.0	0.0	0.0	-inf	29.0	29.0	82.93103448275862	2.0	2.0	73.5	0.0	0.0	-inf
Acinetobacter ursingii	108980	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	31.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	31.0	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Acinetobacter	196816	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	5.0	0.0	80.2	0.0	0.0	-inf	2.0	0.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	5.0	0.0	80.2	0.0	0.0	-inf	2.0	0.0	87.0
Acinetobacter sp. ACNIH1	1636603	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	87.0
Acinetobacter sp. WCHA45	2004644	species	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	91.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	91.0	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. NEB 394	2743575	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	64.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	64.0	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter towneri	202956	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	87.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	87.5	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter indicus	756892	species	0.0	0.0	-inf	0.0	0.0	-inf	12.0	12.0	91.16666666666669	0.0	0.0	-inf	6.0	6.0	56.16666666666666	0.0	0.0	-inf	0.0	0.0	-inf	12.0	12.0	91.16666666666669	0.0	0.0	-inf	6.0	6.0	56.16666666666666
Acinetobacter calcoaceticus/baumannii complex	909768	species_group	3.0	0.0	39.66666666666666	1.0	0.0	95.0	48.0	0.0	88.29166666666667	1.0	0.0	75.0	0.0	0.0	-inf	3.0	0.0	39.66666666666666	1.0	0.0	95.0	48.0	0.0	88.29166666666667	1.0	0.0	75.0	0.0	0.0	-inf
Acinetobacter baumannii	470	species	2.0	2.0	34.0	1.0	1.0	95.0	48.0	28.0	88.29166666666667	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	34.0	1.0	1.0	95.0	48.0	28.0	88.29166666666667	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter baumannii PR07	1279013	strain	0.0	0.0	-inf	0.0	0.0	-inf	20.0	20.0	92.7	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	20.0	20.0	92.7	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter nosocomialis	106654	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	0.0	0.0	-inf
Acinetobacter seifertii	1530123	species	1.0	1.0	51.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	51.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter cumulans	2136182	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	12.0	1.0	1.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	12.0	1.0	1.0	26.0
Acinetobacter lanii	2715163	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf
Moraxella	475	genus	4.0	0.0	23.75	0.0	0.0	-inf	257.0	111.0	74.00778210116732	20.0	8.0	88.85	57.0	4.0	82.10526315789474	4.0	0.0	23.75	0.0	0.0	-inf	257.0	111.0	74.00778210116732	20.0	8.0	88.85	57.0	4.0	82.10526315789474
Moraxella nonliquefaciens	478	species	0.0	0.0	-inf	0.0	0.0	-inf	10.0	10.0	63.6	0.0	0.0	-inf	1.0	1.0	96.0	0.0	0.0	-inf	0.0	0.0	-inf	10.0	10.0	63.6	0.0	0.0	-inf	1.0	1.0	96.0
Moraxella catarrhalis	480	species	0.0	0.0	-inf	0.0	0.0	-inf	38.0	38.0	68.60526315789474	2.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	38.0	38.0	68.60526315789474	2.0	1.0	87.0	0.0	0.0	-inf
Moraxella catarrhalis BBH18	1236608	strain	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	88.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	88.0	0.0	0.0	-inf
Moraxella ovis	29433	species	0.0	0.0	-inf	0.0	0.0	-inf	30.0	30.0	77.9	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	30.0	30.0	77.9	0.0	0.0	-inf	0.0	0.0	-inf
Moraxella cuniculi	34061	species	0.0	0.0	-inf	0.0	0.0	-inf	24.0	24.0	83.66666666666667	4.0	4.0	90.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	24.0	24.0	83.66666666666667	4.0	4.0	90.75	0.0	0.0	-inf
Moraxella osloensis	34062	species	4.0	4.0	23.75	0.0	0.0	-inf	10.0	10.0	87.5	0.0	0.0	-inf	44.0	44.0	80.1590909090909	4.0	4.0	23.75	0.0	0.0	-inf	10.0	10.0	87.5	0.0	0.0	-inf	44.0	44.0	80.1590909090909
Moraxella bovoculi	386891	species	0.0	0.0	-inf	0.0	0.0	-inf	34.0	34.0	72.61764705882354	6.0	6.0	87.5	8.0	8.0	87.875	0.0	0.0	-inf	0.0	0.0	-inf	34.0	34.0	72.61764705882354	6.0	6.0	87.5	8.0	8.0	87.875
Psychrobacter	497	genus	0.0	0.0	-inf	0.0	0.0	-inf	21.0	1.0	80.28571428571429	1.0	0.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	21.0	1.0	80.28571428571429	1.0	0.0	83.0	0.0	0.0	-inf
Psychrobacter urativorans	45610	species	0.0	0.0	-inf	0.0	0.0	-inf	10.0	10.0	77.4	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	10.0	10.0	77.4	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Psychrobacter	196806	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	6.0	0.0	89.33333333333333	1.0	0.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	0.0	89.33333333333333	1.0	0.0	83.0	0.0	0.0	-inf
Psychrobacter sp. PRwf-1	349106	species	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	89.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	89.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. YP14	2203895	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf
Psychrobacter arenosus	256326	species	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonadaceae	135621	family	2.0	0.0	64.5	145.0	0.0	87.86896551724138	3004.0	2.0	85.94740346205059	4.0	0.0	46.0	16.0	0.0	71.74999999999997	2.0	0.0	64.5	145.0	0.0	87.86896551724138	3003.0	2.0	85.95104895104895	4.0	0.0	46.0	16.0	0.0	71.74999999999997
Pseudomonas	286	genus	1.0	0.0	74.0	145.0	30.0	87.86896551724138	2998.0	352.0	85.95997331554368	3.0	0.0	42.333333333333336	16.0	3.0	71.74999999999997	1.0	0.0	74.0	145.0	30.0	87.86896551724138	2997.0	352.0	85.96363029696361	3.0	0.0	42.333333333333336	16.0	3.0	71.74999999999997
Pseudomonas agarici	46677	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	94.0	0.0	0.0	-inf	1.0	1.0	90.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	94.0	0.0	0.0	-inf	1.0	1.0	90.0
Pseudomonas taetrolens	47884	species	0.0	0.0	-inf	3.0	3.0	93.66666666666669	20.0	20.0	90.95	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	93.66666666666669	20.0	20.0	90.95	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas asplenii	53407	species	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas alcaliphila	101564	species	0.0	0.0	-inf	0.0	0.0	-inf	6.0	0.0	79.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	0.0	79.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas alcaliphila JAB1	741155	strain	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	79.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	79.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas psychrophila	122355	species	0.0	0.0	-inf	51.0	51.0	89.56862745098039	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	51.0	51.0	89.56862745098039	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa group	136841	species_group	0.0	0.0	-inf	1.0	0.0	88.0	32.0	0.0	77.8125	1.0	0.0	28.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	88.0	32.0	0.0	77.8125	1.0	0.0	28.0	0.0	0.0	-inf
Pseudomonas aeruginosa	287	species	0.0	0.0	-inf	0.0	0.0	-inf	12.0	11.0	73.25	1.0	1.0	28.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	12.0	11.0	73.25	1.0	1.0	28.0	0.0	0.0	-inf
Pseudomonas aeruginosa LESlike1	1408274	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina	300	species	0.0	0.0	-inf	0.0	0.0	-inf	6.0	5.0	85.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	5.0	85.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina ymp	399739	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas nitroreducens/multiresinivorans group	627141	species_subgroup	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas nitroreducens	46680	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas oleovorans/pseudoalcaligenes group	1232139	species_subgroup	0.0	0.0	-inf	1.0	0.0	88.0	13.0	0.0	82.61538461538461	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	88.0	13.0	0.0	82.61538461538461	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas oleovorans	301	species	0.0	0.0	-inf	1.0	1.0	88.0	13.0	12.0	82.61538461538461	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	88.0	13.0	12.0	82.61538461538461	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas pseudoalcaligenes CECT 5344	1182590	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas chlororaphis group	136842	species_group	0.0	0.0	-inf	31.0	2.0	88.2258064516129	58.0	1.0	83.25862068965517	0.0	0.0	-inf	1.0	0.0	86.0	0.0	0.0	-inf	31.0	2.0	88.2258064516129	57.0	1.0	83.40350877192982	0.0	0.0	-inf	1.0	0.0	86.0
Pseudomonas fragi	296	species	0.0	0.0	-inf	4.0	4.0	86.75	8.0	8.0	83.875	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	86.75	7.0	7.0	85.14285714285714	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas lundensis	86185	species	0.0	0.0	-inf	24.0	24.0	88.16666666666667	5.0	5.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	24.0	24.0	88.16666666666667	5.0	5.0	84.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas chlororaphis	587753	species	0.0	0.0	-inf	1.0	0.0	89.0	44.0	22.0	82.93181818181819	0.0	0.0	-inf	1.0	0.0	86.0	0.0	0.0	-inf	1.0	0.0	89.0	44.0	22.0	82.93181818181819	0.0	0.0	-inf	1.0	0.0	86.0
Pseudomonas chlororaphis subsp. aurantiaca	86192	subspecies	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	91.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	91.5	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas chlororaphis subsp. aureofaciens	587851	subspecies	0.0	0.0	-inf	0.0	0.0	-inf	6.0	5.0	74.5	0.0	0.0	-inf	1.0	1.0	86.0	0.0	0.0	-inf	0.0	0.0	-inf	6.0	5.0	74.5	0.0	0.0	-inf	1.0	1.0	86.0
Pseudomonas chlororaphis subsp. aureofaciens 30-84	1038921	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas chlororaphis subsp. piscium	1513890	subspecies	0.0	0.0	-inf	1.0	1.0	89.0	12.0	12.0	77.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	89.0	12.0	12.0	77.75	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas fluorescens group	136843	species_group	1.0	0.0	74.0	20.0	0.0	84.65	112.0	4.0	85.58035714285714	0.0	0.0	-inf	3.0	0.0	22.33333333333333	1.0	0.0	74.0	20.0	0.0	84.65	112.0	4.0	85.58035714285714	0.0	0.0	-inf	3.0	0.0	22.33333333333333
Pseudomonas fluorescens	294	species	0.0	0.0	-inf	1.0	0.0	88.0	72.0	71.0	84.81944444444444	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	88.0	72.0	71.0	84.81944444444444	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas fluorescens Q8r1-96	1038923	strain	0.0	0.0	-inf	1.0	1.0	88.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	88.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas fluorescens NCIMB 11764	1221522	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	98.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	98.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas tolaasii	29442	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	22.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	22.33333333333333
Pseudomonas mucidolens	46679	species	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	90.66666666666669	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	90.66666666666669	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas azotoformans	47878	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	89.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	89.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas synxantha	47883	species	0.0	0.0	-inf	0.0	0.0	-inf	15.0	15.0	85.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	15.0	15.0	85.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas libanensis	75588	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	91.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	91.5	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mandelii	75612	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	93.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	93.0	0.0	0.0	-inf	0.0	0.0	-inf
