Taxon	Taxon	Taxon	barcode02	barcode02	barcode02	barcode14	barcode14	barcode14	barcode26	barcode26	barcode26	barcode38	barcode38	barcode38	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38
Moraxellaceae	468	family	634.0	0.0	78.63091482649843	14.0	0.0	71.57142857142857	9.0	0.0	48.77777777777778	42.0	0.0	83.23809523809524	634.0	0.0	78.63091482649843	14.0	0.0	71.57142857142857	9.0	0.0	48.77777777777778	42.0	0.0	83.23809523809524
Acinetobacter	469	genus	38.0	2.0	69.71052631578948	6.0	0.0	58.66666666666666	9.0	0.0	48.77777777777778	42.0	0.0	83.23809523809524	38.0	2.0	69.71052631578948	6.0	0.0	58.66666666666666	9.0	0.0	48.77777777777778	42.0	0.0	83.23809523809524
Acinetobacter lwoffii	28090	species	1.0	1.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter haemolyticus	29430	species	0.0	0.0	-inf	2.0	2.0	80.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	80.5	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter johnsonii	40214	species	1.0	1.0	23.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	23.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter radioresistens	40216	species	12.0	12.0	69.91666666666667	2.0	2.0	56.5	0.0	0.0	-inf	0.0	0.0	-inf	12.0	12.0	69.91666666666667	2.0	2.0	56.5	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter schindleri	108981	species	0.0	0.0	-inf	1.0	1.0	33.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	33.0	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Acinetobacter	196816	no_rank	9.0	0.0	72.77777777777777	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	9.0	0.0	72.77777777777777	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. TGL-Y2	1407071	species	1.0	1.0	22.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	22.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. ACNIH1	1636603	species	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. TTH0-4	1646498	species	4.0	4.0	79.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	79.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. WCHA45	2004644	species	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. 10FS3-1	2563897	species	1.0	1.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter sp. WY4	2708348	species	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter tandoii	202954	species	1.0	1.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter towneri	202956	species	3.0	3.0	74.66666666666667	0.0	0.0	-inf	1.0	1.0	36.0	0.0	0.0	-inf	3.0	3.0	74.66666666666667	0.0	0.0	-inf	1.0	1.0	36.0	0.0	0.0	-inf
Acinetobacter indicus	756892	species	1.0	1.0	72.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	45.0	1.0	1.0	72.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	45.0
Acinetobacter calcoaceticus/baumannii complex	909768	species_group	4.0	0.0	68.75	0.0	0.0	-inf	6.0	0.0	57.16666666666666	41.0	0.0	84.17073170731707	4.0	0.0	68.75	0.0	0.0	-inf	6.0	0.0	57.16666666666666	41.0	0.0	84.17073170731707
Acinetobacter baumannii	470	species	3.0	3.0	62.66666666666666	0.0	0.0	-inf	6.0	6.0	57.16666666666666	41.0	41.0	84.17073170731707	3.0	3.0	62.66666666666666	0.0	0.0	-inf	6.0	6.0	57.16666666666666	41.0	41.0	84.17073170731707
Acinetobacter pittii	48296	species	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	87.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter equi	1324350	species	1.0	1.0	98.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	98.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter larvae	1789224	species	1.0	1.0	89.0	1.0	1.0	45.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	89.0	1.0	1.0	45.0	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter defluvii	1871111	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	37.0	0.0	0.0	-inf
Acinetobacter chinensis	2004650	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	23.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	23.0	0.0	0.0	-inf
Acinetobacter lanii	2715163	species	1.0	1.0	70.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	70.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acinetobacter shaoyimingii	2715164	species	1.0	1.0	88.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	88.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Moraxella	475	genus	3.0	0.0	75.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	0.0	75.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Moraxella osloensis	34062	species	3.0	3.0	75.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	75.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter	497	genus	593.0	29.0	79.21753794266442	8.0	0.0	81.25	0.0	0.0	-inf	0.0	0.0	-inf	593.0	29.0	79.21753794266442	8.0	0.0	81.25	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter urativorans	45610	species	3.0	3.0	64.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	64.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Psychrobacter	196806	no_rank	425.0	69.0	77.81176470588235	8.0	2.0	81.25	0.0	0.0	-inf	0.0	0.0	-inf	425.0	69.0	77.81176470588235	8.0	2.0	81.25	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. PRwf-1	349106	species	1.0	1.0	85.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	85.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. G	571800	species	4.0	4.0	69.25	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	69.25	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. DAB_AL43B	1028416	species	94.0	94.0	79.32978723404256	3.0	3.0	74.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf	94.0	94.0	79.32978723404256	3.0	3.0	74.33333333333333	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. P11F6	1699621	species	125.0	125.0	73.936	2.0	2.0	79.0	0.0	0.0	-inf	0.0	0.0	-inf	125.0	125.0	73.936	2.0	2.0	79.0	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. P2G3	1699622	species	5.0	5.0	75.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	5.0	5.0	75.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. P11G3	1699623	species	3.0	3.0	78.0	1.0	1.0	90.0	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	78.0	1.0	1.0	90.0	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. P11G5	1699624	species	1.0	1.0	57.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	57.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. AntiMn-1	1720344	species	6.0	6.0	71.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	71.83333333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. PAMC27889	2565557	species	113.0	113.0	78.65486725663717	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	113.0	113.0	78.65486725663717	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. KCTC 72983	2733866	species	1.0	1.0	75.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter sp. 28M-43	2772254	species	3.0	3.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter arenosus	256326	species	2.0	2.0	87.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	87.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter alimentarius	261164	species	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter cryohalolentis	330922	species	128.0	127.0	83.421875	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	128.0	127.0	83.421875	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter cryohalolentis K5	335284	strain	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter arcticus	334543	species	5.0	0.0	58.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	5.0	0.0	58.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Psychrobacter arcticus 273-4	259536	strain	5.0	5.0	58.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	5.0	5.0	58.2	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonadaceae	135621	family	78890.0	139.0	80.04047407782988	923.0	3.0	79.80281690140842	35.0	0.0	49.54285714285714	5.0	0.0	39.6	78846.0	139.0	80.04574740633639	923.0	3.0	79.80281690140842	35.0	0.0	49.54285714285714	5.0	0.0	39.6
Pseudomonas	286	genus	74993.0	6487.0	80.07706052564907	876.0	104.0	79.98630136986299	35.0	0.0	49.54285714285714	5.0	0.0	39.6	74953.0	6483.0	80.0822115192187	876.0	104.0	79.98630136986299	35.0	0.0	49.54285714285714	5.0	0.0	39.6
Pseudomonas agarici	46677	species	2.0	2.0	51.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	51.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas taetrolens	47884	species	2253.0	2253.0	86.14869063470928	12.0	12.0	85.16666666666667	0.0	0.0	-inf	0.0	0.0	-inf	2252.0	2252.0	86.148756660746	12.0	12.0	85.16666666666667	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas asplenii	53407	species	22.0	22.0	70.0909090909091	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	22.0	22.0	70.0909090909091	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas knackmussii	65741	species	42.0	16.0	63.333333333333336	1.0	1.0	86.0	0.0	0.0	-inf	0.0	0.0	-inf	42.0	16.0	63.333333333333336	1.0	1.0	86.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas knackmussii B13	1301098	strain	26.0	26.0	64.3076923076923	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	26.0	26.0	64.3076923076923	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas thivervalensis	86265	species	97.0	97.0	79.10309278350516	11.0	11.0	87.18181818181819	0.0	0.0	-inf	0.0	0.0	-inf	97.0	97.0	79.10309278350516	11.0	11.0	87.18181818181819	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas vancouverensis	95300	species	7.0	7.0	66.28571428571429	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	7.0	7.0	66.28571428571429	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas alcaliphila	101564	species	35.0	0.0	73.68571428571428	2.0	0.0	69.0	0.0	0.0	-inf	0.0	0.0	-inf	35.0	0.0	73.68571428571428	2.0	0.0	69.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas alcaliphila JAB1	741155	strain	35.0	35.0	73.68571428571428	2.0	2.0	69.0	0.0	0.0	-inf	0.0	0.0	-inf	35.0	35.0	73.68571428571428	2.0	2.0	69.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas frederiksbergensis	104087	species	526.0	526.0	82.27186311787072	4.0	4.0	85.0	0.0	0.0	-inf	0.0	0.0	-inf	526.0	526.0	82.27186311787072	4.0	4.0	85.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas psychrophila	122355	species	692.0	692.0	83.79190751445087	25.0	25.0	88.56	0.0	0.0	-inf	0.0	0.0	-inf	692.0	692.0	83.79190751445087	25.0	25.0	88.56	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa group	136841	species_group	8786.0	674.0	76.60915092192126	134.0	1.0	78.75373134328358	6.0	0.0	55.66666666666666	0.0	0.0	-inf	8781.0	674.0	76.60414531374559	134.0	1.0	78.75373134328358	6.0	0.0	55.66666666666666	0.0	0.0	-inf
Pseudomonas aeruginosa	287	species	3449.0	3138.0	73.97448535807482	47.0	46.0	77.1276595744681	6.0	5.0	55.66666666666666	0.0	0.0	-inf	3448.0	3137.0	73.97476798143852	47.0	46.0	77.1276595744681	6.0	5.0	55.66666666666666	0.0	0.0	-inf
Pseudomonas aeruginosa UCBPP-PA14	208963	strain	30.0	30.0	73.63333333333334	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	30.0	30.0	73.63333333333334	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa PAO1	208964	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	13.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	13.0	0.0	0.0	-inf
Pseudomonas aeruginosa PA7	381754	strain	23.0	23.0	71.21739130434783	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	23.0	23.0	71.21739130434783	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa LESB58	557722	strain	4.0	4.0	76.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	76.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa M18	941193	strain	1.0	1.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa SJTD-1	1193501	strain	26.0	26.0	71.1923076923077	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	26.0	26.0	71.1923076923077	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa RP73	1340851	strain	23.0	23.0	75.0	1.0	1.0	77.0	0.0	0.0	-inf	0.0	0.0	-inf	23.0	23.0	75.0	1.0	1.0	77.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa VRFPA04	1400868	strain	146.0	146.0	77.24657534246575	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	146.0	146.0	77.24657534246575	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa LES431	1408272	strain	28.0	28.0	74.78571428571429	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	28.0	28.0	74.78571428571429	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa LESB65	1408273	strain	26.0	26.0	75.42307692307692	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	26.0	26.0	75.42307692307692	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa LESlike1	1408274	strain	2.0	2.0	68.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	68.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas aeruginosa LESlike4	1408275	strain	2.0	2.0	71.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	71.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina	300	species	2593.0	2490.0	73.68106440416506	36.0	33.0	74.30555555555556	0.0	0.0	-inf	0.0	0.0	-inf	2590.0	2487.0	73.66216216216216	36.0	33.0	74.30555555555556	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina ymp	399739	strain	98.0	98.0	70.39795918367346	2.0	2.0	66.5	0.0	0.0	-inf	0.0	0.0	-inf	98.0	98.0	70.39795918367346	2.0	2.0	66.5	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina NK-01	1001585	strain	4.0	4.0	64.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	64.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas mendocina S5.2	1225174	strain	1.0	1.0	34.0	1.0	1.0	39.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	34.0	1.0	1.0	39.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas alcaligenes	43263	species	1882.0	1882.0	81.58395324123273	45.0	45.0	83.88888888888889	0.0	0.0	-inf	0.0	0.0	-inf	1881.0	1881.0	81.58266879319511	45.0	45.0	83.88888888888889	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas citronellolis	53408	species	4.0	4.0	30.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	30.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas resinovorans	53412	species	23.0	0.0	64.95652173913044	1.0	0.0	94.0	0.0	0.0	-inf	0.0	0.0	-inf	23.0	0.0	64.95652173913044	1.0	0.0	94.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas resinovorans NBRC 106553	1245471	strain	23.0	23.0	64.95652173913044	1.0	1.0	94.0	0.0	0.0	-inf	0.0	0.0	-inf	23.0	23.0	64.95652173913044	1.0	1.0	94.0	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas nitroreducens/multiresinivorans group	627141	species_subgroup	48.0	5.0	67.14583333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	48.0	5.0	67.14583333333333	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas nitroreducens	46680	species	20.0	20.0	64.4	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	20.0	20.0	64.4	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas multiresinivorans	95301	species	23.0	23.0	75.43478260869566	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	23.0	23.0	75.43478260869566	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas oleovorans/pseudoalcaligenes group	1232139	species_subgroup	113.0	0.0	70.20353982300885	4.0	0.0	72.75	0.0	0.0	-inf	0.0	0.0	-inf	113.0	0.0	70.20353982300885	4.0	0.0	72.75	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas oleovorans	301	species	109.0	103.0	71.13761467889908	4.0	4.0	72.75	0.0	0.0	-inf	0.0	0.0	-inf	109.0	103.0	71.13761467889908	4.0	4.0	72.75	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas pseudoalcaligenes CECT 5344	1182590	strain	6.0	6.0	56.833333333333336	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	6.0	6.0	56.833333333333336	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas furukawaii	1149133	species	4.0	4.0	44.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	44.75	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonas chlororaphis group	136842	species_group	9039.0	380.0	84.79820776634584	100.0	1.0	86.89	1.0	0.0	91.0	1.0	0.0	52.0	9034.0	379.0	84.80108479079034	100.0	1.0	86.89	1.0	0.0	91.0	1.0	0.0	52.0
